starttime	seconds	ctime	dtime	ttime	wait
Thu Oct 13 09:03:38 2016	1476342218	0	33	33	33
Thu Oct 13 09:03:38 2016	1476342218	1	32	33	32
Thu Oct 13 09:03:38 2016	1476342218	0	33	33	33
Thu Oct 13 09:03:38 2016	1476342218	1	32	33	32
Thu Oct 13 09:03:38 2016	1476342218	0	33	33	33
Thu Oct 13 09:03:38 2016	1476342218	0	33	33	32
Thu Oct 13 09:03:38 2016	1476342218	1	32	33	32
Thu Oct 13 09:03:38 2016	1476342218	1	32	33	32
Thu Oct 13 09:03:38 2016	1476342218	0	33	33	32
Thu Oct 13 09:03:38 2016	1476342218	0	33	33	33
Thu Oct 13 09:03:38 2016	1476342218	1	32	33	32
Thu Oct 13 09:03:38 2016	1476342218	1	33	34	33
Thu Oct 13 09:03:38 2016	1476342218	0	34	34	34
Thu Oct 13 09:03:38 2016	1476342218	0	34	34	33
Thu Oct 13 09:03:38 2016	1476342218	0	34	34	32
Thu Oct 13 09:03:39 2016	1476342219	0	34	34	34
Thu Oct 13 09:03:39 2016	1476342219	0	34	34	34
Thu Oct 13 09:03:38 2016	1476342218	0	34	34	34
Thu Oct 13 09:03:38 2016	1476342218	0	34	34	33
Thu Oct 13 09:03:38 2016	1476342218	1	33	34	33
Thu Oct 13 09:03:38 2016	1476342218	0	34	34	33
Thu Oct 13 09:03:38 2016	1476342218	0	34	34	33
Thu Oct 13 09:03:38 2016	1476342218	1	33	34	33
Thu Oct 13 09:03:38 2016	1476342218	0	34	34	34
Thu Oct 13 09:03:39 2016	1476342219	1	33	34	33
Thu Oct 13 09:03:39 2016	1476342219	0	34	34	34
Thu Oct 13 09:03:39 2016	1476342219	0	34	34	34
Thu Oct 13 09:03:39 2016	1476342219	0	34	34	33
Thu Oct 13 09:03:39 2016	1476342219	0	34	34	34
Thu Oct 13 09:03:39 2016	1476342219	1	33	34	33
Thu Oct 13 09:03:39 2016	1476342219	0	34	34	33
Thu Oct 13 09:03:39 2016	1476342219	1	33	34	32
Thu Oct 13 09:03:39 2016	1476342219	0	35	35	35
Thu Oct 13 09:03:39 2016	1476342219	0	35	35	34
Thu Oct 13 09:03:39 2016	1476342219	1	34	35	34
Thu Oct 13 09:03:39 2016	1476342219	0	35	35	35
Thu Oct 13 09:03:39 2016	1476342219	0	35	35	34
Thu Oct 13 09:03:39 2016	1476342219	0	35	35	34
